time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw,Ki2,Kd2,Kp2,Kw2
2024-08-19 16:31:26.701515,24.999999999986738,35.00000000005091,5.918971190905865,1.8780240944069762,0.34634541991139817,0.574416277845903,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:31:28.844170,24.999999999852093,35.00000000001278,5.918971190878785,1.8780240943580717,0.3463454199952319,0.5744162778730717,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:31:31.157638,24.999999999862162,34.999999999990486,5.918971190863333,1.8780240943629556,0.34634541995551243,0.5744162778734541,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:31:31.456144,24.999999999862162,34.999999999990486,5.918971190863333,1.8780240943629556,0.3463454199630813,0.574416277867661,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:31:34.030137,25.000000000102755,35.00000000003079,5.918971190887883,1.8780240944485544,0.34634541985064243,0.5744162778474194,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
