time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw,Ki2,Kd2,Kp2,Kw2
2024-08-19 16:32:00.855847,25.00000000005491,35.000000000008235,5.9189711908546485,1.878024094418142,0.34634541990128703,0.5744162778587848,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:32:03.173521,24.999999999996696,34.999999999997826,5.918971190847479,1.8780240943968385,0.34634541991166495,0.574416277859126,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:32:03.576495,24.999999999996696,34.999999999997826,5.918971190847479,1.8780240943968385,0.3463454198951221,0.5744162778561984,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:32:05.796115,24.99999999998356,34.9999999999963,5.918971190847217,1.8780240943925386,0.3463454199036913,0.5744162778572872,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:32:08.862913,24.999999999959307,34.99999999999063,5.91897119084434,1.8780240943844595,0.3463454199141928,0.5744162778602376,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:32:10.056777,24.999999999948564,34.99999999998504,5.918971190842184,1.8780240943818811,0.3463454199183969,0.5744162778635454,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
2024-08-19 16:32:10.803284,24.999999999948564,34.99999999998504,5.918971190842184,1.8780240943818811,0.3463454199140784,0.5744162778611538,Automatico,25.0,35.0,0.026,0.65,0.26,0.0,0.026,0.65,0.26,0.0
