time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw
2024-11-07 16:10:39.045253,25.37166092171215,24.78927383135944,4.459422915665488,2.7252616532775757,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:40.100847,25.079132738435533,25.16820436335875,4.707670930476523,2.6075681233404215,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:41.216770,24.71927542213285,24.900978747040185,4.463882998491459,2.4660956496341857,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:42.232563,25.18979971172516,25.225940315891876,4.6769671549950225,2.6371070303110784,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:43.218643,24.949218475814277,25.01952388684605,4.484749062248443,2.5406124854971313,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:44.207323,25.359692139938485,24.75900557138535,4.255120669250458,2.6904225758264215,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:45.261074,25.074213491058224,25.093161555782338,4.475234750863633,2.5784920092558283,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:46.232101,24.76064423685064,24.878903208911918,4.282849775417578,2.457781128768064,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:47.218266,25.187298410718007,25.174444603430235,4.478524555660754,2.6148358384943347,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:51.505374,24.09300461871731,24.27889059433664,3.7227236765538434,2.2090065358558326,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:53.623381,24.294895501185923,24.39219094882453,3.794426707158326,2.3029195900032295,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:10:55.554638,25.28840035502512,25.101563984261656,4.2917227922554515,2.6764921797421355,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
