time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw
2024-11-07 16:45:36.626471,24.061306473442468,28.824772459658945,0.01,5.869567211331326,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:45:37.278916,24.288757462631835,28.642959914008753,0.01,5.964220630497452,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:45:38.409999,24.50124948607175,28.4737580418568,0.01,6.052283515568578,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:45:39.209256,24.82170231991924,28.218556169866027,0.01,6.1850705270661575,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
