time,h1,h2,h3,h4,v1,v2,modo
2024-11-04 07:36:59.462272,0.3251781740268492,0.41217118102387673,0.01,0.01,-5.1408549396815534e-14,-5.1408549396815534e-14,Manual-sinusoide
2024-11-04 07:37:00.408072,0.2529356807075687,0.3467912835202206,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:01.387453,0.937897595630761,0.8628845582716559,0.3852155666212814,0.25941616360687436,1.7587599283474781e-13,1.7587599283474781e-13,Manual-sinusoide
2024-11-04 07:37:02.412166,1.0110482747166056,0.91251718964933,0.37375261487478845,0.25747704967865076,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:03.410589,0.30109229414788846,0.37911747691346215,0.01,0.01,-3.003434362726801e-13,-3.003434362726801e-13,Manual-sinusoide
2024-11-04 07:37:04.389988,0.2294243000270769,0.30632515682169736,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:05.445101,0.9844772037251468,0.8828850244809031,0.4168349107982283,0.28061015296105235,-2.993647117585178e-14,-2.993647117585178e-14,Manual-sinusoide
2024-11-04 07:37:06.433891,1.0494590408567697,0.9156909951311708,0.40190419747007866,0.2765305616146445,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:07.396201,0.3454756246884119,0.3878455703431303,0.01,0.01,-9.453097226208049e-14,-9.453097226208049e-14,Manual-sinusoide
2024-11-04 07:37:08.407228,0.2809992192624794,0.338455083700864,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:09.396608,0.9335394257994623,0.8295952280120901,0.3689265954939588,0.2485062420293061,2.1899841570001277e-13,2.1899841570001277e-13,Manual-sinusoide
2024-11-04 07:37:10.407937,0.9812053957639358,0.8597255072322986,0.35090303888404833,0.241631780992231,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:11.438800,0.3542218352251793,0.37939395284393096,0.01,0.01,-3.4346585913794503e-13,-3.4346585913794503e-13,Manual-sinusoide
2024-11-04 07:37:12.440132,0.29552249163754063,0.31903015381183175,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:13.514436,0.9100780707642139,0.7945807551380997,0.35181030142780273,0.23704846481435268,1.3185951689413171e-14,1.3185951689413171e-14,Manual-sinusoide
2024-11-04 07:37:14.635918,1.0038458388696614,0.8640794494086251,0.3561099846245788,0.24574459495031142,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:15.474670,0.5425995690044023,0.5049813618884686,0.05720306858741087,0.05316557860260911,-1.3765339512734545e-13,-1.3765339512734545e-13,Manual-sinusoide
2024-11-04 07:37:16.542130,0.3552703623317573,0.3808141141132091,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:17.489641,0.9529918637410784,0.8283365040683149,0.3398359598694132,0.22903663298094246,2.621208385652777e-13,2.621208385652777e-13,Manual-sinusoide
2024-11-04 07:37:18.530170,1.1911729218369458,0.9962677748232999,0.414944224477188,0.284235742411707,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:19.598069,0.4997496700718216,0.4801250167191272,0.01,0.014593666772212088,6.815906888325415e-14,6.815906888325415e-14,Manual-sinusoide
2024-11-04 07:37:20.713750,0.4135595796610603,0.4191560583258639,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:21.586723,1.0471461742667865,0.894440788346071,0.3587375010148038,0.24168480707017043,5.630837455467812e-14,5.630837455467812e-14,Manual-sinusoide
2024-11-04 07:37:22.606660,1.0909975296565424,0.9278075359417366,0.3432002211988818,0.2092567129108845,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:23.609630,0.39883369670016594,0.3946983822959792,0.01,0.01,-1.807758179926104e-13,-1.807758179926104e-13,Manual-sinusoide
2024-11-04 07:37:24.590734,0.28178346045924896,0.2984247403971815,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:25.605544,0.9812919752645572,0.8225507512699696,0.3901755413851251,0.26273935694450035,3.0524326143054264e-13,3.0524326143054264e-13,Manual-sinusoide
2024-11-04 07:37:26.582162,0.9976613748091725,0.8351415844990283,0.35498031175753086,0.24493537115619002,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:27.603721,0.379018488773881,0.37698063675209376,0.01,0.01,2.503664601798919e-14,2.503664601798919e-14,Manual-sinusoide
2024-11-04 07:37:28.627613,0.31176008977189534,0.3283626613255514,0.01,0.01,1.0,1.0,Manual-sinusoide
2024-11-04 07:37:29.612486,0.9314415338100914,0.7746051871233408,0.382964598608786,0.25790817287258555,9.943079741994307e-14,9.943079741994307e-14,Manual-sinusoide
2024-11-04 07:37:30.595442,0.9402431989473121,0.7816178495780344,0.3428729242374863,0.2368444839719109,-1.0,-1.0,Manual-sinusoide
2024-11-04 07:37:31.615963,0.3548626965914915,0.3549699644213879,0.01,0.01,-2.2389824085787535e-13,-2.2389824085787535e-13,Manual-sinusoide
2024-11-04 07:37:32.605699,0.20065166703189052,0.2059505283059518,0.01,0.01,1.0,1.0,Manual-sinusoide
